,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,liquidation_event_happened
36,4-10-2022,15673369,167.0,7,4,10,0.0,70.00000000043461,0.0,1.0,70000.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,94210.21890058494,69998.11742211513,0.7429992015619924,True
37,4-10-2022,15674567,259.64999999999986,11,4,10,0.0,1e-06,0.0,1.0,0.000155,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0013484216514028345,0.00015499299300470598,0.11494401090597925,False
38,5-10-2022,15683188,259.64999999999986,16,5,10,0.0,16.5,0.0,1.0,19545.170807,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22155.5334,19540.999094040897,0.8819918140197383,True
39,7-10-2022,15698495,259.64999999999986,20,7,10,0.0,0.15072119475859136,0.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,199.71394805432254,99.98527122765304,0.5006424048081852,False
40,12-10-2022,15733926,259.64999999999986,18,12,10,0.0,1e-07,0.0,1.0,6.8e-05,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00012949290440526535,6.801045449349771e-05,0.5252060319895977,False
41,14-10-2022,15742809,259.64999999999986,0,14,10,0.0,4.75,0.0,0.2979051830249289,18017.42112,0.0,1.0,0.0,0,0.6283401,0.0,0.5928302339904787,0,0.0,0.0,0.0,0,366.0791372609523,0.0,0.1092645829845924,0,0.0,0.0,0.0,20544.197222771567,18019.166393233183,0.8770927477886752,True
42,21-10-2022,15797616,259.64999999999986,16,21,10,0.0,80.25,0.0,0.6405998864969175,158090.746466,0.0,1.0,0.0,0,1.95208264,0.0,0.2298619217764593,0,59.16089492745821,0.0,0.11166784001714347,0,0.0,0.0,0.0,0,435.36376955517954,0.0,0.017870351709479933,162676.67137305214,158113.49874520386,0.9719494344866204,True
43,30-10-2022,15861741,259.64999999999986,15,30,10,0.0,0.0,0.0,0.0,192.651254,0.0,1.0,0.0,0,0.0,0.0,0.0,0,1.6610298019242338,0.0,0.5196681082893809,0,0.0,0.0,0.0,0,62.2705603619122,0.0,0.4803318917106191,981.4541539938824,192.59462751754725,0.1962339521757709,False
44,31-10-2022,15868537,122.0,14,31,10,0.0,0.14946786638150314,0.0,1.0,200.000032,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,234.31125626468508,199.97893716872287,0.8534755878002748,True
45,1-11-2022,15874524,259.64999999999986,10,1,11,0.0,20.0,0.0,1.0,20110.20479,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32003.23399911753,20113.850470503854,0.6284943100143718,True
