,Unnamed: 0,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,usdc_borrow_balance,wbtc_borrow_balance,comp_borrow_balance,uni_borrow_balance,link_borrow_balance,weth_collateral_balance,usdc_collateral_balance,wbtc_collateral_balance,comp_collateral_balance,uni_collateral_balance,link_collateral_balance
126,126,0.0,0.0,0.0,23-9-2022,15594272,1.0,6,23,9,,,,,,,,,,,,
127,127,0.0,0.0,0.0,23-9-2022,15594448,46.0,7,23,9,,,,,,,,,,,,
128,128,0.0,0.0,0.0,23-9-2022,15594757,92.0,8,23,9,,,,,,,,,,,,
129,129,35988.185844883265,17993.52477799974,0.4999842130291219,23-9-2022,15597686,259.64999999999986,17,23,9,0.0,1.0,0.0,0.0,0.0,0.0,0.7697907904673247,0.0,0.16374365242353975,0.06646555710913546,0.0,0.0
130,130,0.0,0.0,0.0,23-9-2022,15598409,46.0,20,23,9,,,,,,,,,,,,
131,131,0.0,0.0,0.0,24-9-2022,15599796,259.0,1,24,9,,,,,,,,,,,,
132,132,62183.34799206202,26167.576562871654,0.4208132467587956,24-9-2022,15604520,259.64999999999986,16,24,9,0.0,1.0,0.0,0.0,0.0,0.0,0.2593111343179678,0.0,0.0,0.7406888656820322,0.0,0.0
133,133,399760.94897687226,347054.5602483564,0.8681552341132621,24-9-2022,15604582,259.64999999999986,17,24,9,0.0,1.0,0.0,0.0,0.0,0.0,0.5031048198908007,0.0,0.0,0.3840504648793344,0.07412397815886494,0.038720737070999836
134,134,0.0,0.0,0.0,24-9-2022,15604907,63.0,18,24,9,,,,,,,,,,,,
135,135,0.00032913088624999994,0.0,0.0,25-9-2022,15606671,0.0,0,25,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
136,136,8.814609744479687e-07,0.0,0.0,25-9-2022,15609921,167.0,10,25,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
137,137,0.0,0.0,0.0,25-9-2022,15610708,25.0,13,25,9,,,,,,,,,,,,
138,138,0.00019565952944388998,0.0,0.0,25-9-2022,15612078,1.0,18,25,9,,,,,,,0.0,0.0,0.969487252658563,0.03051274734143703,0.0,0.0
139,139,0.0,0.0,0.0,25-9-2022,15613046,63.0,21,25,9,,,,,,,,,,,,
140,140,0.005953217558640889,0.0,0.0,26-9-2022,15615716,40.0,6,26,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
141,141,0.0,0.0,0.0,26-9-2022,15615741,43.0,6,26,9,,,,,,,,,,,,
142,142,0.0,0.0,0.0,26-9-2022,15617375,2.0,11,26,9,,,,,,,,,,,,
143,143,0.0,0.0,0.0,26-9-2022,15617823,204.0,13,26,9,,,,,,,,,,,,
144,144,0.13741980797240913,0.018538695652125986,0.1349055563798208,27-9-2022,15621464,259.64999999999986,1,27,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145,145,0.0002082728608479759,0.0,0.0,27-9-2022,15623361,1.0,8,27,9,,,,,,,0.0,0.0,0.9713351525371152,0.02866484746288487,0.0,0.0
